"footsize","height"
36,143
40,150
38,153
40,155
39,155
41,155
41,155
40,155
40,157
39,157
40,158
39,158
39,158
41,159
41,159
40,160
40,161
39,161
40,161
39,161
42,162
42,162
43,162
41,164
40,165
39,165
41,165
41,165
41,165
39,166
42,166
41,167
39,167
41,168
40,169
42,169
40,170
40,170
42,171
40,171
43,172
41,172
41,172
40,172
42,172
42,173
43,173
41,174
43,175
41,175
43,176
43,176
42,176
42,176
42,177
41,177
44,177
44,178
41,178
44,179
44,180
42,180
43,181
44,182
44,182
43,183
43,183
43,184
44,185
43,186
43,186
43,187
44,188
45,189
45,189
43,189
44,189
42,192
45,192
44,192
44,194
44,194
45,194
47,194
46,194
43,195
45,197
42,197
46,199
44,201
45,203
47,203
46,204
46,205
45,206
48,206
46,207
46,208
45,208
45,210
